The LDA/Score will have a function of LDA = -0.257878*(x-mean(datax)) + 0.0860891*(y-mean(datay))

The classes will be separated by score with 0 as the middle,
so scores with positive values are probably in one class while negative scores are in the other are separated by scores above zero and scores below zero

//////////////////TRAINING RESULT////////////////////
DataX	Datay	Score	Class
29	116	CLASS1	CLASS1
30	114	CLASS1	CLASS1
14	79	CLASS1	CLASS1
11	65	CLASS1	CLASS1
8	53	CLASS1	CLASS1
4	33	CLASS1	CLASS1
8	58	CLASS1	CLASS1
33	117	CLASS1	CLASS1
34	112	CLASS1	CLASS1
4	33	CLASS1	CLASS1
9	44	CLASS1	CLASS1
19	95	CLASS1	CLASS1
20	69	CLASS1	CLASS1
31	134	CLASS1	CLASS1
21	76	CLASS1	CLASS1
8	55	CLASS1	CLASS1
36	114	CLASS1	CLASS1
34	136	CLASS1	CLASS1
11	76	CLASS1	CLASS1
39	142	CLASS1	CLASS1
6	32	CLASS1	CLASS1
20	87	CLASS1	CLASS1
35	111	CLASS1	CLASS1
2	29	CLASS1	CLASS1
1	20	CLASS1	CLASS1
28	88	CLASS1	CLASS2
38	132	CLASS1	CLASS1
26	88	CLASS1	CLASS1
23	73	CLASS1	CLASS2
32	134	CLASS1	CLASS1
9	58	CLASS1	CLASS1
14	79	CLASS1	CLASS1
4	28	CLASS1	CLASS1
28	122	CLASS1	CLASS1
30	108	CLASS1	CLASS1
32	110	CLASS1	CLASS1
28	107	CLASS1	CLASS1
9	36	CLASS1	CLASS1
24	113	CLASS1	CLASS1
28	112	CLASS1	CLASS1
11	67	CLASS1	CLASS1
39	159	CLASS1	CLASS1
3	45	CLASS1	CLASS1
13	62	CLASS1	CLASS1
29	102	CLASS1	CLASS1
1	41	CLASS1	CLASS1
28	92	CLASS1	CLASS1
25	93	CLASS1	CLASS1
32	112	CLASS1	CLASS1
12	42	CLASS1	CLASS1
10	57	CLASS1	CLASS1
35	125	CLASS1	CLASS1
29	103	CLASS1	CLASS1
12	52	CLASS1	CLASS1
9	48	CLASS1	CLASS1
8	49	CLASS1	CLASS1
9	35	CLASS1	CLASS1
11	71	CLASS1	CLASS1
3	32	CLASS1	CLASS1
25	83	CLASS1	CLASS1
31	109	CLASS1	CLASS1
11	53	CLASS1	CLASS1
27	87	CLASS1	CLASS1
12	72	CLASS1	CLASS1
7	37	CLASS1	CLASS1
5	25	CLASS1	CLASS1
37	131	CLASS1	CLASS1
5	37	CLASS1	CLASS1
14	84	CLASS1	CLASS1
5	33	CLASS1	CLASS1
26	106	CLASS1	CLASS1
35	115	CLASS1	CLASS1
26	121	CLASS1	CLASS1
18	67	CLASS1	CLASS1
28	104	CLASS1	CLASS1
37	127	CLASS1	CLASS1
18	82	CLASS1	CLASS1
5	43	CLASS1	CLASS1
29	128	CLASS1	CLASS1
26	109	CLASS1	CLASS1
19	78	CLASS1	CLASS1
15	83	CLASS1	CLASS1
10	69	CLASS1	CLASS1
36	148	CLASS1	CLASS1
31	121	CLASS1	CLASS1
12	78	CLASS1	CLASS1
39	141	CLASS1	CLASS1
6	55	CLASS1	CLASS1
32	101	CLASS1	CLASS1
17	79	CLASS1	CLASS1
2	31	CLASS1	CLASS1
34	109	CLASS1	CLASS1
34	139	CLASS1	CLASS1
6	55	CLASS1	CLASS1
20	80	CLASS1	CLASS1
26	90	CLASS1	CLASS1
13	71	CLASS1	CLASS1
38	142	CLASS1	CLASS1
6	59	CLASS1	CLASS1
3	21	CLASS1	CLASS1
12	55	CLASS1	CLASS1
22	89	CLASS1	CLASS1
12	57	CLASS1	CLASS1
38	142	CLASS1	CLASS1
4	24	CLASS1	CLASS1
6	59	CLASS1	CLASS1
4	18	CLASS1	CLASS1
7	53	CLASS1	CLASS1
39	154	CLASS1	CLASS1
16	72	CLASS1	CLASS1
2	37	CLASS1	CLASS1
5	45	CLASS1	CLASS1
19	93	CLASS1	CLASS1
4	17	CLASS1	CLASS1
7	56	CLASS1	CLASS1
22	98	CLASS1	CLASS1
17	83	CLASS1	CLASS1
10	36	CLASS1	CLASS1
29	119	CLASS1	CLASS1
16	66	CLASS1	CLASS1
30	125	CLASS1	CLASS1
5	34	CLASS1	CLASS1
6	22	CLASS1	CLASS2
14	52	CLASS1	CLASS1
21	104	CLASS1	CLASS1
19	83	CLASS1	CLASS1
22	107	CLASS1	CLASS1
19	70	CLASS1	CLASS1
14	53	CLASS1	CLASS1
34	122	CLASS1	CLASS1
6	53	CLASS1	CLASS1
9	42	CLASS1	CLASS1
27	118	CLASS1	CLASS1
27	96	CLASS1	CLASS1
11	65	CLASS1	CLASS1
22	71	CLASS1	CLASS1
9	70	CLASS1	CLASS1
4	44	CLASS1	CLASS1
1	29	CLASS1	CLASS1
30	108	CLASS1	CLASS1
31	110	CLASS1	CLASS1
22	82	CLASS1	CLASS1
6	48	CLASS1	CLASS1
29	111	CLASS1	CLASS1
24	103	CLASS1	CLASS1
7	55	CLASS1	CLASS1
16	83	CLASS1	CLASS1
15	72	CLASS1	CLASS1
14	47	CLASS1	CLASS1
30	114	CLASS1	CLASS1
8	30	CLASS1	CLASS1
35	127	CLASS1	CLASS1
8	37	CLASS1	CLASS1
19	97	CLASS1	CLASS1
20	73	CLASS1	CLASS1
29	108	CLASS1	CLASS1
25	81	CLASS1	CLASS1
26	110	CLASS1	CLASS1
6	59	CLASS1	CLASS1
12	74	CLASS1	CLASS1
2	30	CLASS1	CLASS1
5	40	CLASS1	CLASS1
1	43	CLASS1	CLASS1
4	17	CLASS1	CLASS1
32	107	CLASS1	CLASS1
21	94	CLASS1	CLASS1
36	122	CLASS1	CLASS1
21	92	CLASS1	CLASS1
16	55	CLASS1	CLASS1
1	43	CLASS1	CLASS1
34	120	CLASS1	CLASS1
4	41	CLASS1	CLASS1
25	104	CLASS1	CLASS1
35	135	CLASS1	CLASS1
3	45	CLASS1	CLASS1
25	105	CLASS1	CLASS1
32	127	CLASS1	CLASS1
18	72	CLASS1	CLASS1
12	44	CLASS1	CLASS1
3	17	CLASS1	CLASS1
39	125	CLASS1	CLASS1
34	123	CLASS1	CLASS1
22	100	CLASS1	CLASS1
38	136	CLASS1	CLASS1
15	63	CLASS1	CLASS1
1	23	CLASS1	CLASS1
6	30	CLASS1	CLASS1
37	137	CLASS1	CLASS1
25	91	CLASS1	CLASS1
21	100	CLASS1	CLASS1
35	109	CLASS1	CLASS2
26	87	CLASS1	CLASS1
23	74	CLASS1	CLASS1
20	69	CLASS1	CLASS1
30	96	CLASS1	CLASS1
22	104	CLASS1	CLASS1
9	67	CLASS1	CLASS1
35	119	CLASS1	CLASS1
20	75	CLASS1	CLASS1
16	55	CLASS1	CLASS1
22	101	CLASS1	CLASS1
12	49	CLASS1	CLASS1
32	104	CLASS1	CLASS1
11	57	CLASS1	CLASS1
25	94	CLASS1	CLASS1
28	89	CLASS1	CLASS1
30	116	CLASS1	CLASS1
19	67	CLASS1	CLASS1
32	125	CLASS1	CLASS1
9	57	CLASS1	CLASS1
32	102	CLASS1	CLASS1
27	121	CLASS1	CLASS1
33	109	CLASS1	CLASS1
23	80	CLASS1	CLASS1
0	26	CLASS1	CLASS1
29	97	CLASS1	CLASS1
1	45	CLASS1	CLASS1
13	73	CLASS1	CLASS1
29	127	CLASS1	CLASS1
4	31	CLASS1	CLASS1
24	77	CLASS1	CLASS1
26	97	CLASS1	CLASS1
8	30	CLASS1	CLASS1
17	78	CLASS1	CLASS1
27	85	CLASS1	CLASS2
38	132	CLASS1	CLASS1
25	107	CLASS1	CLASS1
14	46	CLASS1	CLASS2
31	114	CLASS1	CLASS1
28	102	CLASS1	CLASS1
19	99	CLASS1	CLASS1
16	64	CLASS1	CLASS1
9	59	CLASS1	CLASS1
3	43	CLASS1	CLASS1
14	72	CLASS1	CLASS1
36	139	CLASS1	CLASS1
30	99	CLASS1	CLASS1
10	56	CLASS1	CLASS1
24	106	CLASS1	CLASS1
7	26	CLASS1	CLASS1
19	74	CLASS1	CLASS1
22	99	CLASS1	CLASS1
8	37	CLASS1	CLASS1
19	81	CLASS1	CLASS1
23	77	CLASS1	CLASS1
5	51	CLASS1	CLASS1
25	115	CLASS1	CLASS1
6	34	CLASS1	CLASS1
21	78	CLASS1	CLASS1
37	130	CLASS1	CLASS1
33	103	CLASS1	CLASS2
23	106	CLASS1	CLASS1
33	134	CLASS1	CLASS1
3	52	CLASS1	CLASS1
33	112	CLASS1	CLASS1
3	14	CLASS1	CLASS1
15	83	CLASS1	CLASS1
14	85	CLASS1	CLASS1
23	87	CLASS1	CLASS1
39	142	CLASS1	CLASS1
24	100	CLASS1	CLASS1
14	57	CLASS1	CLASS1
19	89	CLASS1	CLASS1
15	66	CLASS1	CLASS1
8	54	CLASS1	CLASS1
34	120	CLASS1	CLASS1
29	120	CLASS1	CLASS1
32	107	CLASS1	CLASS1
30	118	CLASS1	CLASS1
9	69	CLASS1	CLASS1
1	10	CLASS1	CLASS1
17	88	CLASS1	CLASS1
4	25	CLASS1	CLASS1
11	60	CLASS1	CLASS1
1	30	CLASS1	CLASS1
0	29	CLASS1	CLASS2
30	78	CLASS2	CLASS2
31	97	CLASS2	CLASS2
9	3	CLASS2	CLASS2
29	76	CLASS2	CLASS2
34	76	CLASS2	CLASS2
38	82	CLASS2	CLASS2
30	94	CLASS2	CLASS2
18	33	CLASS2	CLASS2
24	62	CLASS2	CLASS2
13	32	CLASS2	CLASS2
23	60	CLASS2	CLASS2
28	79	CLASS2	CLASS2
7	6	CLASS2	CLASS2
31	96	CLASS2	CLASS2
22	43	CLASS2	CLASS2
38	94	CLASS2	CLASS2
16	31	CLASS2	CLASS2
0	0	CLASS2	CLASS2
26	47	CLASS2	CLASS2
37	101	CLASS2	CLASS2
13	24	CLASS2	CLASS2
0	-18	CLASS2	CLASS2
34	102	CLASS2	CLASS2
14	27	CLASS2	CLASS2
28	69	CLASS2	CLASS2
35	73	CLASS2	CLASS2
24	55	CLASS2	CLASS2
22	34	CLASS2	CLASS2
11	22	CLASS2	CLASS2
36	93	CLASS2	CLASS2
5	-12	CLASS2	CLASS2
15	33	CLASS2	CLASS2
18	28	CLASS2	CLASS2
16	30	CLASS2	CLASS2
22	44	CLASS2	CLASS2
11	23	CLASS2	CLASS2
22	44	CLASS2	CLASS2
36	107	CLASS2	CLASS2
25	56	CLASS2	CLASS2
0	-22	CLASS2	CLASS2
7	-10	CLASS2	CLASS2
8	3	CLASS2	CLASS2
36	109	CLASS2	CLASS2
6	-13	CLASS2	CLASS2
15	40	CLASS2	CLASS2
34	104	CLASS2	CLASS2
6	6	CLASS2	CLASS2
2	-18	CLASS2	CLASS2
18	39	CLASS2	CLASS2
15	46	CLASS2	CLASS2
19	59	CLASS2	CLASS2
34	78	CLASS2	CLASS2
18	34	CLASS2	CLASS2
18	43	CLASS2	CLASS2
4	-11	CLASS2	CLASS2
38	106	CLASS2	CLASS2
29	69	CLASS2	CLASS2
1	-18	CLASS2	CLASS2
8	1	CLASS2	CLASS2
30	55	CLASS2	CLASS2
31	93	CLASS2	CLASS2
23	64	CLASS2	CLASS2
9	22	CLASS2	CLASS2
35	97	CLASS2	CLASS2
18	58	CLASS2	CLASS2
15	23	CLASS2	CLASS2
21	28	CLASS2	CLASS2
33	81	CLASS2	CLASS2
31	89	CLASS2	CLASS2
27	75	CLASS2	CLASS2
9	22	CLASS2	CLASS2
34	68	CLASS2	CLASS2
16	21	CLASS2	CLASS2
14	10	CLASS2	CLASS2
11	30	CLASS2	CLASS2
0	-31	CLASS2	CLASS2
5	-16	CLASS2	CLASS2
8	-8	CLASS2	CLASS2
11	26	CLASS2	CLASS2
6	-4	CLASS2	CLASS2
25	78	CLASS2	CLASS2
19	37	CLASS2	CLASS2
29	76	CLASS2	CLASS2
32	97	CLASS2	CLASS2
34	78	CLASS2	CLASS2
33	68	CLASS2	CLASS2
35	101	CLASS2	CLASS2
23	51	CLASS2	CLASS2
20	50	CLASS2	CLASS2
17	26	CLASS2	CLASS2
19	29	CLASS2	CLASS2
14	45	CLASS2	CLASS2
26	82	CLASS2	CLASS2
36	106	CLASS2	CLASS2
3	-1	CLASS2	CLASS2
6	-16	CLASS2	CLASS2
36	76	CLASS2	CLASS2
10	7	CLASS2	CLASS2
30	71	CLASS2	CLASS2
4	3	CLASS2	CLASS2
7	11	CLASS2	CLASS2
5	19	CLASS2	CLASS2
15	35	CLASS2	CLASS2
39	115	CLASS2	CLASS2
12	25	CLASS2	CLASS2
17	49	CLASS2	CLASS2
7	18	CLASS2	CLASS2
24	37	CLASS2	CLASS2
13	30	CLASS2	CLASS2
11	5	CLASS2	CLASS2
2	-8	CLASS2	CLASS2
26	52	CLASS2	CLASS2
27	54	CLASS2	CLASS2
24	44	CLASS2	CLASS2
28	50	CLASS2	CLASS2
28	84	CLASS2	CLASS2
36	111	CLASS2	CLASS2
39	121	CLASS2	CLASS2
21	57	CLASS2	CLASS2
30	67	CLASS2	CLASS2
35	84	CLASS2	CLASS2
37	93	CLASS2	CLASS2
11	6	CLASS2	CLASS2
9	0	CLASS2	CLASS2
6	7	CLASS2	CLASS2
2	7	CLASS2	CLASS2
27	81	CLASS2	CLASS2
13	15	CLASS2	CLASS2
34	71	CLASS2	CLASS2
26	43	CLASS2	CLASS2
4	-19	CLASS2	CLASS2
30	82	CLASS2	CLASS2
24	64	CLASS2	CLASS2
32	77	CLASS2	CLASS2
5	-3	CLASS2	CLASS2
30	93	CLASS2	CLASS2
38	97	CLASS2	CLASS2
0	-23	CLASS2	CLASS2
37	114	CLASS2	CLASS2
5	-10	CLASS2	CLASS2
28	51	CLASS2	CLASS2
26	43	CLASS2	CLASS2
6	9	CLASS2	CLASS2
16	38	CLASS2	CLASS2
11	19	CLASS2	CLASS2
24	49	CLASS2	CLASS2
14	31	CLASS2	CLASS2
20	48	CLASS2	CLASS2
11	29	CLASS2	CLASS2
32	82	CLASS2	CLASS2
22	32	CLASS2	CLASS2
0	-15	CLASS2	CLASS2
14	37	CLASS2	CLASS2
12	6	CLASS2	CLASS2
27	59	CLASS2	CLASS2
17	33	CLASS2	CLASS2
22	64	CLASS2	CLASS2
8	9	CLASS2	CLASS2
15	23	CLASS2	CLASS2
8	8	CLASS2	CLASS2
39	96	CLASS2	CLASS2
12	4	CLASS2	CLASS2
13	26	CLASS2	CLASS2
3	-6	CLASS2	CLASS2
19	35	CLASS2	CLASS2
35	104	CLASS2	CLASS2
4	-12	CLASS2	CLASS2
17	33	CLASS2	CLASS2
5	19	CLASS2	CLASS2
34	90	CLASS2	CLASS2
27	85	CLASS2	CLASS2
29	64	CLASS2	CLASS2
33	75	CLASS2	CLASS2
26	44	CLASS2	CLASS2
14	31	CLASS2	CLASS2
30	90	CLASS2	CLASS2
6	21	CLASS2	CLASS2
30	65	CLASS2	CLASS2
34	75	CLASS2	CLASS2
9	30	CLASS2	CLASS2
22	44	CLASS2	CLASS2
25	75	CLASS2	CLASS2
3	0	CLASS2	CLASS2
33	68	CLASS2	CLASS2
35	91	CLASS2	CLASS2
17	40	CLASS2	CLASS2
9	-5	CLASS2	CLASS2
10	3	CLASS2	CLASS2
24	42	CLASS2	CLASS2
0	-19	CLASS2	CLASS2
22	38	CLASS2	CLASS2
7	-11	CLASS2	CLASS2
6	1	CLASS2	CLASS2
7	5	CLASS2	CLASS2
30	75	CLASS2	CLASS2
17	52	CLASS2	CLASS2
20	49	CLASS2	CLASS2
5	11	CLASS2	CLASS2
1	-27	CLASS2	CLASS2
7	7	CLASS2	CLASS2
17	28	CLASS2	CLASS2
27	61	CLASS2	CLASS2
23	58	CLASS2	CLASS2
3	-22	CLASS2	CLASS2
17	31	CLASS2	CLASS2
26	50	CLASS2	CLASS2
6	12	CLASS2	CLASS2
25	77	CLASS2	CLASS2
29	67	CLASS2	CLASS2
12	13	CLASS2	CLASS2
8	15	CLASS2	CLASS2
5	1	CLASS2	CLASS2
7	-13	CLASS2	CLASS2
30	67	CLASS2	CLASS2
25	48	CLASS2	CLASS2
37	85	CLASS2	CLASS2
24	51	CLASS2	CLASS2
26	61	CLASS2	CLASS2
22	37	CLASS2	CLASS2
14	35	CLASS2	CLASS2
24	66	CLASS2	CLASS2
9	6	CLASS2	CLASS2
2	-27	CLASS2	CLASS2
6	-7	CLASS2	CLASS2
1	3	CLASS2	CLASS2
24	59	CLASS2	CLASS2
35	77	CLASS2	CLASS2
0	-3	CLASS2	CLASS2
12	14	CLASS2	CLASS2
29	80	CLASS2	CLASS2
33	65	CLASS2	CLASS2
8	10	CLASS2	CLASS2
31	87	CLASS2	CLASS2
18	48	CLASS2	CLASS2
19	25	CLASS2	CLASS2
15	18	CLASS2	CLASS2
22	65	CLASS2	CLASS2
12	26	CLASS2	CLASS2
18	19	CLASS2	CLASS2
19	46	CLASS2	CLASS2
0	-31	CLASS2	CLASS2
29	56	CLASS2	CLASS2
31	77	CLASS2	CLASS2
29	64	CLASS2	CLASS2
6	-11	CLASS2	CLASS2
19	30	CLASS2	CLASS2
39	110	CLASS2	CLASS2
17	40	CLASS2	CLASS2
12	29	CLASS2	CLASS2
22	58	CLASS2	CLASS2
23	40	CLASS2	CLASS2
12	5	CLASS2	CLASS2
37	101	CLASS2	CLASS2
31	88	CLASS2	CLASS2
23	69	CLASS2	CLASS2
39	109	CLASS2	CLASS2
14	16	CLASS2	CLASS2
13	4	CLASS2	CLASS2
4	-3	CLASS2	CLASS2
3	2	CLASS2	CLASS2
22	33	CLASS2	CLASS2
3	-11	CLASS2	CLASS2
16	20	CLASS2	CLASS2
18	36	CLASS2	CLASS2
36	86	CLASS2	CLASS2
32	100	CLASS2	CLASS2
22	58	CLASS2	CLASS2
15	19	CLASS2	CLASS2
14	29	CLASS2	CLASS2
5	-6	CLASS2	CLASS2
5	-11	CLASS2	CLASS2
9	15	CLASS2	CLASS2
27	79	CLASS2	CLASS2
17	19	CLASS2	CLASS2
12	39	CLASS2	CLASS2
17	34	CLASS2	CLASS2
12	30	CLASS2	CLASS2
13	11	CLASS2	CLASS2
14	45	CLASS2	CLASS2
24	42	CLASS2	CLASS2
21	63	CLASS2	CLASS2
31	79	CLASS2	CLASS2
34	100	CLASS2	CLASS2
14	24	CLASS2	CLASS2
9	21	CLASS2	CLASS2
3	-6	CLASS2	CLASS2
20	50	CLASS2	CLASS2
33	103	CLASS2	CLASS2
34	73	CLASS2	CLASS2
8	28	CLASS2	CLASS2
1	-12	CLASS2	CLASS2
24	73	CLASS2	CLASS2
12	37	CLASS2	CLASS2
32	65	CLASS2	CLASS2
15	42	CLASS2	CLASS2
0	3	CLASS2	CLASS2
11	-2	CLASS2	CLASS2
18	21	CLASS2	CLASS2
32	95	CLASS2	CLASS2
20	36	CLASS2	CLASS2
0	-14	CLASS2	CLASS2
21	50	CLASS2	CLASS2
24	64	CLASS2	CLASS2
25	73	CLASS2	CLASS2
35	75	CLASS2	CLASS2
0	-18	CLASS2	CLASS2
16	39	CLASS2	CLASS2
37	112	CLASS2	CLASS2
7	23	CLASS2	CLASS2
39	102	CLASS2	CLASS2
0	-25	CLASS2	CLASS2
2	5	CLASS2	CLASS2
8	-1	CLASS2	CLASS2
14	32	CLASS2	CLASS2
7	14	CLASS2	CLASS2
28	81	CLASS2	CLASS2
4	-20	CLASS2	CLASS2
19	31	CLASS2	CLASS2
24	46	CLASS2	CLASS2
0	-27	CLASS2	CLASS2
6	0	CLASS2	CLASS2
27	78	CLASS2	CLASS2
21	55	CLASS2	CLASS2
13	30	CLASS2	CLASS2
24	58	CLASS2	CLASS2
8	16	CLASS2	CLASS2
4	15	CLASS2	CLASS2
33	95	CLASS2	CLASS2
21	39	CLASS2	CLASS2
20	51	CLASS2	CLASS2
21	60	CLASS2	CLASS2
20	39	CLASS2	CLASS2
38	115	CLASS2	CLASS2
20	29	CLASS2	CLASS2
30	92	CLASS2	CLASS2
1	4	CLASS2	CLASS2
29	58	CLASS2	CLASS2
4	-13	CLASS2	CLASS2
5	-7	CLASS2	CLASS2
36	106	CLASS2	CLASS2
1	-18	CLASS2	CLASS2
8	25	CLASS2	CLASS2
24	48	CLASS2	CLASS2
28	57	CLASS2	CLASS2
16	28	CLASS2	CLASS2
13	15	CLASS2	CLASS2
39	115	CLASS2	CLASS2
17	51	CLASS2	CLASS2
24	59	CLASS2	CLASS2
38	94	CLASS2	CLASS2
16	22	CLASS2	CLASS2
29	55	CLASS2	CLASS2
5	13	CLASS2	CLASS2
36	99	CLASS2	CLASS2
36	93	CLASS2	CLASS2
16	20	CLASS2	CLASS2
21	45	CLASS2	CLASS2
32	70	CLASS2	CLASS2
38	108	CLASS2	CLASS2
1	-28	CLASS2	CLASS2
5	-18	CLASS2	CLASS2
15	11	CLASS2	CLASS2
38	118	CLASS2	CLASS2
37	81	CLASS2	CLASS2
22	31	CLASS2	CLASS2
39	97	CLASS2	CLASS2
2	-28	CLASS2	CLASS2
14	40	CLASS2	CLASS2
9	-8	CLASS2	CLASS2
34	84	CLASS2	CLASS2
30	59	CLASS2	CLASS2
30	91	CLASS2	CLASS2
33	87	CLASS2	CLASS2
20	56	CLASS2	CLASS2
1	-16	CLASS2	CLASS2
27	64	CLASS2	CLASS2
7	2	CLASS2	CLASS2
0	-27	CLASS2	CLASS2
10	32	CLASS2	CLASS2
25	76	CLASS2	CLASS2
35	94	CLASS2	CLASS2
13	6	CLASS2	CLASS2
1	-26	CLASS2	CLASS2
11	21	CLASS2	CLASS2
33	69	CLASS2	CLASS2
11	9	CLASS2	CLASS2
24	68	CLASS2	CLASS2
36	86	CLASS2	CLASS2
31	86	CLASS2	CLASS2
37	109	CLASS2	CLASS2
33	90	CLASS2	CLASS2
11	12	CLASS2	CLASS2
35	81	CLASS2	CLASS2
8	11	CLASS2	CLASS2
15	16	CLASS2	CLASS2
6	7	CLASS2	CLASS2
8	-3	CLASS2	CLASS2
10	26	CLASS2	CLASS2
11	6	CLASS2	CLASS2
24	74	CLASS2	CLASS2
